epoch,accuracy,loss,val_accuracy,val_loss
0,0.5389999747276306,1.5284075736999512,0.20777027308940887,1.6240662336349487
1,0.734499990940094,1.0089123249053955,0.21002252399921417,1.4934206008911133
2,0.7639999985694885,0.6975729465484619,0.6711711883544922,0.7885196208953857
3,0.781000018119812,0.5789286494255066,0.7449324131011963,0.5805826187133789
4,0.7950000166893005,0.5157942175865173,0.7922297120094299,0.4878860116004944
5,0.8006250262260437,0.4730721116065979,0.8023648858070374,0.4526415169239044
6,0.812749981880188,0.446429044008255,0.7978603839874268,0.43749624490737915
7,0.8237500190734863,0.4209216237068176,0.8248873949050903,0.40674158930778503
8,0.8338750004768372,0.40150848031044006,0.8333333134651184,0.40208443999290466
9,0.8443750143051147,0.3839187026023865,0.8406531810760498,0.3915616273880005
10,0.8610000014305115,0.35808834433555603,0.852477490901947,0.37264639139175415
11,0.8651250004768372,0.3534335494041443,0.8445945978164673,0.37634241580963135
12,0.8838750123977661,0.3278161585330963,0.8597972989082336,0.37306007742881775
13,0.893875002861023,0.3128392994403839,0.8665540814399719,0.3535313010215759
14,0.9016249775886536,0.2876891493797302,0.8654279112815857,0.3658335506916046
15,0.9014999866485596,0.2824235260486603,0.8761261105537415,0.3389681577682495
16,0.9096249938011169,0.2607717216014862,0.8738738894462585,0.3432588577270508
17,0.9120000004768372,0.2615968585014343,0.8738738894462585,0.3372075855731964
18,0.9175000190734863,0.2482212334871292,0.8682432174682617,0.4180011451244354
19,0.9286249876022339,0.22264057397842407,0.8856981992721558,0.3146912753582001
